,Lender,LoanAmount,Loans
0,"	Farm Credit of Western Oklahoma, ACA",24385.0,1
1,1st Bank Yuma,82400.0,3
2,1st Bank in Hominy,23175.0,1
3,1st Community FCU,23201.38888888889,72
4,1st Financial Bank USA,14804.0,5
5,1st Source Bank,34325.0,4
6,1st Summit Bank,20832.0,1
7,A N E C A FCU,23786.6,5
8,A+ FCU,22405.936639118456,363
9,ABNB FCU,3272.0,1
10,ANB Bank,1252.0,1
11,AVB Bank,55400.0,1
12,"Academy Bank, National Association",54066.42857142857,7
13,AccessBank Texas,38367.096774193546,465
14,Accion,19079.272551020407,196
15,Adams Bank & Trust,60750.0,4
16,"Affiliated Bank, National Association",32732.15673469388,1225
17,Affinity FCU,11628.5,6
18,Affinity Plus FCU,6808.75,1
19,AgTexas Farm Credit Services,28794.583333333332,36
20,Agrow Credit Corporation,39841.02888888888,9
21,AimBank,42139.197771587744,359
22,Air Force FCU,13907.0,23
23,Alaska USA FCU,45733.333333333336,3
24,"Alerus Financial, National Association",9950.0,2
25,Allegacy FCU,1461.05,1
26,Allegiance Bank,42546.2928649635,4932
27,Alliance Bank,37394.37469565217,345
28,Alliance Bank Central Texas,27781.95716494845,194
29,Allied FCU,14633.375,8
30,Allied First Bank,59505.0,1
31,Ally Bank,94801.70444444445,9
32,Alpine Bank,35671.42857142857,7
33,Altra FCU,22023.967835051546,97
34,Alva State Bank & Trust Company,5300.0,1
35,Amarillo National Bank,32766.718099861304,2884
36,"Amerant Bank, National Association",25871.891544117647,544
37,AmeriState Bank,29988.486666666664,42
38,America First FCU,9366.666666666666,3
39,America's Christian CU,23266.666666666668,36
40,"American AgCredit, ACA",114845.5,2
41,American Bank & Trust,4269.5,2
42,American Bank Center,21700.0,1
43,American Bank and Trust Company,32339.666666666668,3
44,American Bank of Commerce,42886.93972179289,647
45,American Bank of Missouri,110300.0,1
46,"American Bank, National Association",44961.65836615609,1371
47,American Business Bank,60000.0,1
48,American Community Bank & Trust,91300.0,1
49,American Express National Bank,39206.70116847827,368
50,American Federal Bank,20832.0,1
51,American First CU,16370.0,1
52,American First National Bank,34734.96581196581,234
53,American Lending Center,19172.996153846154,13
54,American Momentum Bank,47496.95326364693,861
55,American National Bank,71866.28571428571,7
56,American National Bank & Trust,39968.9226519337,362
57,American National Bank and Trust Company,26800.0,1
58,American Pride Bank,53468.75,4
59,American State Bank,32238.910678466025,339
60,American State Bank & Trust Company,12881.0,1
